year,author
1947,Ennio Flaiano
1948,Vincenzo Cardarelli
1949,Giovanni Battista Angioletti
1950,Cesare Pavese
1951,Corrado Alvaro
1952,Alberto Moravia
1953,Massimo Bontempelli
1954,Mario Soldati
1955,Giovanni Comisso
1956,Giorgio Bassani
1957,Elsa Morante
1958,Dino Buzzati
1959,Giuseppe Tomasi di Lampedusa
1960,Carlo Cassola
1961,Raffaele La Capria
1962,Mario Tobino
1963,Natalia Ginzburg
1964,Giovanni Arpino
1965,Paolo Volponi
1966,Michele Prisco
1967,Anna Maria Ortese
1968,Alberto Bevilacqua
1969,Lalla Romano
1970,Guido Piovene
1971,Raffaello Brignetti
1972,Giuseppe Dessì
1973,Manlio Cancogni
1974,Guglielmo Petroni
1975,Tommaso Landolfi
1976,Fausta Cialente
1977,Fulvio Tomizza
1978,Ferdinando Camon
1979,Primo Levi
1980,Vittorio Gorresio
1981,Umberto Eco
1982,Goffredo Parise
1983,Mario Pomilio
1984,Pietro Citati
1985,Carlo Sgorlon
1986,Maria Bellonci
1987,Stanislao Nievo
1988,Gesualdo Bufalino
1989,Giuseppe Pontiggia
1990,Sebastiano Vassalli
1991,Paolo Volponi
1992,Vincenzo Consolo
1993,Domenico Rea
1994,Giorgio Montefoschi
1995,Mariateresa Di Lascia
1996,Alessandro Barbero
1997,Claudio Magris
1998,Enzo Siciliano
1999,Dacia Maraini
2000,Ernesto Ferrero
2001,Domenico Starnone
2002,Margaret Mazzantini
2003,Melania G. Mazzucco
2004,Ugo Riccarelli
2005,Maurizio Maggiani
2006,Sandro Veronesi
2007,Niccolò Ammaniti
2008,Paolo Giordano
2009,Tiziano Scarpa
2010,Antonio Pennacchi
2011,Edoardo Nesi
2012,Alessandro Piperno
2013,Walter Siti
2014,Francesco Piccolo
2015,Nicola Lagioia
2016,Edoardo Albinati
2017,Paolo Cognetti
2018,Helena Janeczek
2019,Antonio Scurati
2020,Sandro Veronesi
2021,Emanuele Trevi
