year,nominees
1947,"
Corrado Alvaro, L’età breve (Bompiani)
Carlo Bernari, Prologo alle tenebre (Mondadori)
Giuseppe Berto, Il cielo è rosso (Longanesi)
Libero Bigiaretti, Il villino (Garzanti)
Manlio Dazzi, Gelsomino (Garzanti)
Antonietta Drago, Furiosi amori dell’ottocento(Longanesi)
Ennio Flaiano, Tempo di uccidere (Longanesi)
Carlo Levi, Paura della libertà (Einaudi)
Virgilio Lilli, Gazzettino (Garzanti)
Gianna Manzini Forte come un leone (Mondadori)
Marino Moretti, I coniugi Allori (Mondadori)
Enrico Pea, Lisetta (Mondadori)
Alberto Savinio, Tutta la vita (Bompiani)
Lamberti Sorrentino, Isba e steppa (Mondadori)
Dino Terra, La pietra di David (Garzanti)
Gino Vicentini, Gli occhi indiscreti (Vallecchi)
Elio Vittorini, Il Sempione strizza l’occhio al Frejus(Bompiani)
"
1948,"
Anna Banti, Artemisia (Sansoni)
Giuseppe Berto, Le opere di Dio (Macchia)
Ugo Betti, Strana serata (Garzanti)
Aldo Bizzarri, Proibito vivere (Mondadori)
Vincenzo Cardarelli, Villa Tarantola (Edizioni della Meridiana)
Carlo Coccioli, La piccola valle di Dio (Vallecchi)
Giovanni Comisso, Capriccio e illusione (Mondadori)
Angelo Del Boca, Dentro mi è nato l’uomo (Einaudi)
Gino De Sanctis, Viaggio di ritorno (Ed. Mediterranea)
Franco Fortini, Agonia di Natale (Einaudi)
Renato Giani, La grande biografia (Il Pellicano)
Curzio Malaparte, Il sole è cieco (Vallecchi)
Silvio Micheli, Un figlio, ella disse (Einaudi)
Aldo Palazzeschi, I fratelli Cuccoli (Vallecchi)
Cesare Pavese, Il compagno (Einaudi)
Lea Quaretti, La voce nel fiume (Neri Pozza)
Raul Radice, Un matrimonio mancato (Mondadori)
Domenico Rea, Spaccanapoli (Mondadori)
Guido Seborga, L’uomo di Caporosso (Mondadori)
Bonaventura Tecchi, La presenza del male (Bompiani)
Alberto Vigevani, La fidanzata (Mondadori)
"
1949,"
Giovanni Battista Angioletti, La memoria (Bompiani)
Dino Buzzati, Paura alla Scala (Mondadori)
Giovanni Comisso, Amori d’Oriente (Garzanti)
Pia D’Alessandria, Favola proibita (Tumminelli)
Manlio Magini, Morte dell’adolescenza (Vallecchi)
Giuseppe Marotta, San Gennaro non dice mai no(Bompiani)
Armando Meoni, L’ombra dei vivi (Vallecchi)
Orsola Nemi, Maddalena nella palude (Longanesi)
Cesare Pavese, Prima che il gallo canti (Einaudi)
Enrico Pea, Fitina (Vallecchi)
Vasco Pratolini, Un eroe del nostro tempo (Bompiani)
Michele Prisco, La provincia addormentata (Mondadori)
Giuseppe Raimondi, Giuseppe in Italia (Mondadori)
Camillo Sbarbaro, Trucioli (Mondadori)
Leonardo Sinisgalli, Belliboschi (Mondadori)
Elio Vittorini, Le donne di Messina (Bompiani)
"
1950,"
Carlo Bernari, Speranzella (Mondadori)
Italo Calvino, Ultimo viene il corvo (Einaudi)
Giuseppe Dessì, Storia del principe Lui (Mondadori)
Carlo Coccioli, Il cielo e la terra (Vallecchi)
Marise Ferro, La guerra è stupida (Edizioni Milano Sera)
Luigi Figallo, Una donna al giorno (Longanesi)
Beniamino Joppolo, Un cane ucciso (Bompiani)
Nicola Lisi, La nuova Tebaide (Vallecchi)
Curzio Malaparte, La pelle (Ali d’Italia)
Gianna Manzini, Ho visto il tuo cuore (Mondadori)
Concetto Marchesi, Il libro di Tersite (Mondadori)
Donato Martucci, Lo strano settembre 1950 (Longanesi)
Cesare Pavese, La bella estate (Einaudi)
Lea Quaretti, La donna sbagliata (Neri Pozza)
Giani Stuparich, Il giudizio di Paride (Garzanti)
Francesco Maria Taliani, È morto in Cina (Mondadori)
Eugenio Vaquer, Il procuratore (Bompiani)
Flora Volpini, La fiorentina (Bompiani)
"
1951,"
Corrado Alvaro, Quasi una vita (Bompiani)
Bruno Barilli, Capricci di vegliardo (Einaudi)
Dino Buzzati, In quel preciso momento (Mondadori)
Gian Paolo Callegari, I baroni (Garzanti)
Lia Castelfranco, Acqua grigia (Mondadori)
Giovanni Comisso, Le mie stagioni (Garzanti)
Raoul Maria De Angelis, Panche gialle. Sangue negro (Mondadori)
Agostino Degli Espinosa, Ognuno con la sua miseria (Mondadori)
Carlo Levi, L’orologio (Einaudi)
Alberto Moravia, Il conformista (Bompiani)
Gian Gaspare Napolitano, La Mariposa (Vallecchi)
Anna Maria Ortese, L’infanta sepolta (Edizioni Milano Sera)
Mario Peserico, Josèphine (Guanda)
Guglielmo Petroni, La casa si muove (Mondadori)
Domenico Rea, Gesù, fate luce (Mondadori)
Mario Soldati, A cena con il commendatore (Longanesi)
"
1952,"
Italo Calvino, Il visconte dimezzato (Mondadori)
Renato Cannavale, Ponti che crollano (Macchia)
Giovanni Del Pizzo, Trapasso di stagioni (Guanda)
Augusto Frassineti, Misteri dei ministeri (Guanda)
Arnaldo Frateili, Controvento (Bompiani)
Carlo Emilio Gadda, Il primo libro delle favole (Garzanti)
Ettore Margadonna, Dio semina gli uomini (Leonardo da Vinci)
Paolo Monelli, La morte del diplomatico (Baldini)
Alberto Moravia, I racconti (Bompiani)
Goffredo Parise, Il ragazzo morto e le comete (Neri Pozza)
Ercole Patti, Il punto debole (Casini)
Luigi Santucci, Lo zio prete (Mondadori)
Toti Scialoja, I segni della corda (Edizioni della Meridiana)
Fortunato Seminara, La masseria (Garzanti)
Mario Tobino, Il deserto della Libia (Einaudi)
Dante Troisi, L’ulivo nella sabbia (Macchia)
"
1953,"
Elio Bartolini, Due ponti a Caracas (Mondadori)
Giorgio Bassani, La passeggiata prima di cena (Botteghe oscure)
Carlo Bernari, Vesuvio e pane (Vallecchi)
Massimo Bontempelli, L’amante fedele (Mondadori)
Raffaello Brignetti, Morte per acqua (Sansoni)
Vera Cacciatore, Vendita all’asta (Garzanti)
Gian Paolo Callegari, Fringuelli per l’Arcivescovo (Macchia)
Sansoni D’Arzo, Casa d’altri (Sansoni)
Vittorio Del Gaizo, Tempo sulla terra (Rizzoli)
Carlo Emilio Gadda, Novelle dal ducato in fiamme (Vallecchi)
Gianna Manzini, Animali sacri e profani (Casini)
Mario Rigoni Stern, Il sergente nella neve (Einaudi)
Giose Rimanelli, Tiro al piccione (Mondadori)
Lalla Romano, Maria (Einaudi)
Fortunato Seminara, Donne di Napoli (Garzanti)
Lucia Sollazzo, Morte dei Cabraz (Neri Pozza)
Elio Talarico, Né vivi né morti (Bompiani)
Mario Tobino, Le libere donne di Magliano (Vallecchi)
"
1954,"
Dino Buzzati, Il crollo della Baliverna (Mondadori)
Giampiero Carocci, Il campo degli ufficiali (Einaudi)
Carlo Cassola, Il taglio del bosco (Einaudi)
Raoul Maria De Angelis, Storia di uno sconosciuto (Vallecchi)
Oreste Del Buono, Acqua alla gola (Mondadori)
Rodolfo De Mattei, Labirinto romano (Vallecchi)
Enrico Emanuelli, Un viaggio sopra la terra (Mondadori)
Massimo Franciosa, Una chitarra in paradiso (Cappelli)
Sirio Giannini, Prati di fieno (Mondadori)
Giuseppe Gironda, Clotilde Rodio (Casini)
Giuliano Leggeri, Domenica sul fiume (Sansoni)
Guido Lopez, La prova del nove (Mondadori)
Milena Milani, Emilia sulla diga (Mondadori)
Ottiero Ottieri, Memorie dell’incoscienza (Einaudi)
Ercole Patti, Giovannino (Bompiani)
Leonida Rèpaci, Un riccone torna alla terra (Ceschina)
Vittorio Sermonti, La bambina Europa (Sansoni)
Mario Soldati, Le lettere da Capri (Garzanti)
Giacinto Spagnoletti, Le orecchie del diavolo (Sansoni)
Lina Zaleo, Il Fiore dell’agrifoglio (Zamboni)
"
1955,"
Giana Anguissola, I demoni vestono come noi (Bocca)
Giuseppe Berto, Guerra in camicia nera (Garzanti)
Giuseppe Bonaviri, Il sarto della strada lunga (Einaudi)
Raffaele Brignetti, La deriva (Einaudi)
Dario Cecchi, Tiziano (Longanesi)
Giovanni Comisso, Un gatto attraversa la strada (Mondadori)
Giuseppe Dessì, I passeri (Nistri-Lischi)
Livia De Stefani, Gli affatturati (Mondadori)
Beppe Fenoglio, La malora (Einaudi)
Orsola Nemi, Rotta a nord (Vallecchi)
Pier Paolo Pasolini, Ragazzi di vita (Garzanti)
Michele Prisco, Figli difficili (Rizzoli)
Lea Quaretti, L’estate di Anna (Vallecchi)
Domenico Rea, Quel che vide Cummeo (Mondadori)
Nello Sàito, Gli avventurosi siciliani (Einaudi)
"
1956,"
Elio Bartolini, La bellezza d’Ippolita (Einaudi)
Giorgio Bassani, Cinque storie ferraresi (Einaudi)
Sandro Bevilacqua, La casa delle spose (Cappelli)
Angelo Del Boca, Viaggio nella luna (Vallecchi)
Piero Gadda Conti, Adamira (Bompiani)
Carlo Levi, Le parole sono pietre (Einaudi)
Antonio Meluschi, La fabbrica dei bambini (Mondadori)
Ercole Patti, Un amore a Roma (Bompiani)
Guglielmo Petroni, Noi dobbiamo parlare (Mondadori)
Pier Antonio Quarantotti Gambini, Amor militare (Einaudi)
Roberto Ridolfi, Memorie di uno studioso (Belardetti)
Leonardo Sciascia, Le parrocchie di Regalpetra (Laterza)
Folco Tempesti, Elena, nostra donna (UBER)
Dante Troisi, Diario di un giudice (Einaudi)
Alfonso Vinci, Samatari, Orinoco-Amazzoni (Leonardo da Vinci)
"
