year,title
1947,Tempo di uccidere
1948,Villa Tarantola
1949,La memoria
1950,La bella estate
1951,Quasi una vita
1952,I racconti
1953,L’amante fedele
1954,Lettere da Capri
1955,Un gatto attraversa la strada
1956,Cinque storie ferraresi
1957,L’isola di Arturo
1958,Sessanta racconti
1959,Il gattopardo
1960,La ragazza di Bube
1961,Ferito a morte
1962,Il clandestino
1963,Lessico famigliare
1964,L’ombra delle colline
1965,La macchina mondiale
1966,Una spirale di nebbia
1967,Poveri e semplici
1968,L’occhio del gatto
1969,Le parole tra noi leggere
1970,Le stelle fredde
1971,La spiaggia d’oro
1972,Paese d’ombre
1973,"Allegri, gioventù"
1974,La morte del fiume
1975,A caso
1976,Le quattro ragazze Wieselberger
1977,La miglior vita
1978,Un altare per la madre
1979,La chiave a stella
1980,La vita ingenua
1981,Il nome della rosa
1982,Il sillabario n.2
1983,Il Natale del 1833
1984,Tolstoj
1985,L’armata dei fiumi perduti
1986,Rinascimento privato
1987,Le isole del paradiso
1988,Le menzogne della notte
1989,La grande sera
1990,La chimera
1991,La strada per Roma
1992,"Nottetempo, casa per casa"
1993,Ninfa plebea
1994,La casa del padre
1995,Passaggio in ombra
1996,"Bella vita e guerre altrui di Mr. Pyle, gentiluomo"
1997,Microcosmi
1998,I bei momenti
1999,Buio
2000,N.
2001,Via Gemito
2002,Non ti muovere
2003,Vita
2004,Il dolore perfetto
2005,Il viaggiatore notturno
2006,Caos calmo
2007,Come Dio Comanda
2008,La Solitudine dei numeri primi
2009,Stabat Mater
2010,Canale Mussolini
2011,Storia della mia gente
2012,Inseparabili. Il fuoco amico dei ricordi
2013,Resistere non serve a niente
2014,Il desiderio di essere come tutti
2015,La ferocia
2016,La scuola cattolica
2017,Le otto montagne
2018,La ragazza con la Leica
2019,M. Il figlio del secolo
2020,Il Colibrì
2021,Due vite
