author,place of birth/residence,latitude,longitude
Marco Amerighi,Pisa,43.71666667,10.4
Fabio Bacà,San Benedetto del Tronto,42.94378056,13.88333056
Alessandro Bertante,Alessandria,44.91333056,8.62
Alessandra Carati,Milan,45.46694444,9.19
Mario Desiati,Locorotondo,40.75,17.31666667
Veronica Galletta,Syracuse,37.06916667,15.2875
Jana Karšaiová,Bratislava,48.14472222,17.11277778
Marino Magliani,Dolcedo,43.90688889,7.951608333
Davide Orecchio,Rome,41.89305556,12.48277778
Claudio Piersanti,Canzano,42.65,13.8
Veronica Raimo,Rome,41.89305556,12.48277778
Daniela Ranieri,Rome,41.89305556,12.48277778
