year,title,narrative location 1,latitude 1,longitude 1,narrative location 2,latitude 2,longitude 2,narrative location 3,latitude 3,longitude 3,narrative location 4,latitude 4,longitude 4,narrative location 5,latitude 5,longitude 5,narrative location 6,latitude 6,longitude 6,narrative location 7,latitude 7,longitude 7,narrative location 8,latitude 8,longitude 8,narrative location 9,latitude 9,longitude 9,narrative location 10,latitude 10,longitude 10,narrative location 11,latitude 11,longitude 11,narrative location 12,latitude 12,longitude 12,narrative location 13,latitude 13,longitude 13,narrative location 14,latitude 14,longitude 14,narrative location 15,latitude 15,longitude 15,narrative location 16,latitude 16,longitude 16
1947,A time to Kill,Ethiopia,40,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,Villa Tarantola,Tarquinia,42.24916667,11.75611111,Rome,41.89305556,12.48277778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,Memory,Italy,42.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,The Beautiful Summer,Turin,45.06666667,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,Almost a Life,Berlin,52.51666667,13.38333333,Soviet Union,65,90,Germany,51,10,France,47,2,Poland,52,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,I racconti,Italy,42.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,The faithful lover,Italy,42.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,Letters from Capri,Rome,41.89305556,12.48277778,Paris,48.85694444,2.351388889,New York City,40.712728,-74.006015,Capri,40.55555556,14.24027778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,A Cat Crossing the Street,Italy,42.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,Five Stories of Ferrara,Ferrara,44.835297,11.619865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,Arturo's Island,Procida,40.76666667,14.03333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,Sixty Stories,Italy,42.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,The Leopard,Sicily,37.59995833,14.01537778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,Bébo's Girl,Val di Elsa,43.46666667,11.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,Wounded to Death,Naples,40.83333333,14.25,Capri,40.55555556,14.24027778,Positano,40.62777778,14.48194444,Rome,41.89305556,12.48277778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,Il clandestino,Versilia,43.93611111,10.24694444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,Family sayings,Turin,45.06666667,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,L'ombra delle colline,Turin,45.06666667,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,The worldwide machine,San Savino,45.14173,10.097,Rome,41.89305556,12.48277778,Cagli,43.547,12.6473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,A spiral of mist,Cales,41.2,14.132,Province of Naples,40.83333333,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,Poor and Simple,Milan,45.46694444,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
